"","h","n","RWwD","AR","Plasso_NT_121_Predictors","Slasso_NT_121_Predictors","Plasso_ST_121_Predictors","Slasso_ST_121_Predictors","Plasso_NT_504_Predictors","Slasso_NT_504_Predictors","Plasso_ST_504_Predictors","Slasso_ST_504_Predictors"
"Full Sample",1,120,0.153636659186013,0.14975660098722,0.639319831727169,0.143819895648858,0.88873326516496,0.510766525186073,0.578499041326565,0.139412478974751,0.466598719075074,0.147654827032782
"Full Sample",1,240,0.153681624752336,0.149127220078041,0.613944644566419,0.145100749963095,0.632306117211521,0.646769823537415,0.765602325652562,0.128427042902799,0.238482301373164,0.133458050370792
"Full Sample",1,360,0.153523325172064,0.144404507605928,0.51811940067801,0.150228678417441,1.86434037400724,1.92029469728638,0.735513376114003,0.129112112278642,0.192293092361654,0.133501321689782
"Full Sample",2,120,0.229643413423159,0.214077943137214,0.688741453297047,0.195328045252077,0.903453941078926,0.535622596325115,0.641556378798259,0.185862514684954,0.555794709528653,0.203859514776592
"Full Sample",2,240,0.229698209159227,0.204894899036056,0.821303137435294,0.172621754948472,0.634890044047439,0.642908653920859,0.87761474883604,0.164334950577802,0.303169301976734,0.176319005462037
"Full Sample",2,360,0.229296453830723,0.199104745299917,0.600023903988062,0.188928459707728,0.743745374157511,1.56149631972329,0.752613175653124,0.172251801760085,0.254619182269301,0.175698755455465
"Full Sample",3,120,0.305858148177718,0.280636992595319,0.732294177944282,0.265957496544563,0.953406969750394,0.563227602765826,0.709957333892268,0.263965459908602,0.667012199306634,0.266471008426739
"Full Sample",3,240,0.30590224769921,0.26194711262571,0.726130112716831,0.242089611127951,0.640758326847157,0.653597023722238,1.01142921063025,0.245373585676323,0.392545667802858,0.212447034683498
"Full Sample",3,360,0.305199746385526,0.255134431986822,0.654047714829918,0.224807585334003,0.741257735753549,1.17668270141535,0.785783614626725,0.212901735882032,0.325504721181685,0.217941401376107
"1990-1999",1,120,0.140715571231899,0.137508772735013,0.468664570159931,0.138585606193479,0.558163798842383,0.44317939471613,0.411065520291253,0.133528493583102,0.25823686694059,0.143180903378328
"1990-1999",1,240,0.140775569308976,0.138339886158763,0.204110648853396,0.146212366599161,0.665952244289736,0.734865915476929,0.530002839098371,0.130508182055465,0.19329921123235,0.132604264892913
"1990-1999",1,360,0.141233604494966,0.141103503599548,0.220688214106543,0.156482432214981,0.640354250398694,0.593369473572859,0.597200890774933,0.133967915334728,0.1809347983287,0.130996963343819
"1990-1999",2,120,0.188885226976799,0.180344497464817,0.483375092214777,0.178370062142894,0.621202210530874,0.449308518994971,0.441207085321169,0.17441648367304,0.294225665188613,0.183836238271662
"1990-1999",2,240,0.188821342782775,0.184139806564837,0.266077986035608,0.164835875535617,0.664937039418852,0.70624140643587,0.554586528005936,0.162819660989004,0.268946215178742,0.175068465160686
"1990-1999",2,360,0.190338112398693,0.18687373107597,0.27175550961673,0.185232929552938,0.644273287656541,0.596908066604478,0.609744095362342,0.166721872760229,0.243888044732808,0.167866336134247
"1990-1999",3,120,0.234257485148102,0.224363281524938,0.503232049191459,0.222085887065344,0.652639005873083,0.457842757002429,0.453691110688282,0.224124814643952,0.339793268152307,0.232973659200977
"1990-1999",3,240,0.233757432367144,0.226450041652352,0.392826917768499,0.217340279123158,0.656468586032553,0.71462031961671,0.571602905501648,0.200746138442109,0.338041699663387,0.211583345264953
"1990-1999",3,360,0.23668735747302,0.228674171700959,0.336380361283084,0.214844354774604,0.645298898350624,0.594235329705376,0.631555759100696,0.206563880999197,0.306926356493193,0.199633390099044
"2000-2009",1,120,0.168373271171799,0.150459075332468,0.438993526353703,0.145575672559321,0.990046493993227,0.444455680342855,0.332578375174229,0.137224557542589,0.647776999118114,0.148698978114875
