"","name","TCODE","n=120_Plasso_NT","n=120_Slasso_NT","n=120_Plasso_ST","n=120_Slasso_ST","n=240_Plasso_NT","n=240_Slasso_NT","n=240_Plasso_ST","n=240_Slasso_ST","n=360_Plasso_NT","n=360_Slasso_NT","n=360_Plasso_ST","n=360_Slasso_ST"
"1","RPI","5","0","0","0","71","0","9","1","149","0","10","1","89"
"2","W875RX1","5","0","0","0","28","0","10","1","172","0","8","2","155"
"3","DPCERA3M086SBEA","5","0","0","0","40","0","9","0","162","0","30","0","152"
"4","CMRMTSPLx","5","212","27","0","134","356","15","1","275","360","1","0","230"
"5","RETAILx","5","0","8","0","72","218","3","1","124","234","69","0","136"
"6","INDPRO","5","0","41","0","2","0","2","0","104","0","3","0","100"
"7","IPFPNSS","5","0","23","0","16","0","2","0","101","0","0","0","107"
"8","IPFINAL","5","0","0","0","0","0","1","0","86","0","0","8","142"
"9","IPCONGD","5","0","18","0","44","0","6","0","127","0","13","0","122"
"10","IPDCONGD","5","0","46","0","45","0","99","0","173","0","103","8","155"
"11","IPNCONGD","5","0","0","0","44","0","10","0","114","0","18","0","107"
"12","IPBUSEQ","5","0","40","0","53","0","4","1","148","0","4","0","132"
"13","IPMAT","5","0","15","0","89","0","60","0","82","0","25","0","148"
"14","IPDMAT","5","0","4","0","172","0","13","1","229","0","14","2","133"
"15","IPNMAT","5","0","28","0","71","0","79","0","136","0","61","5","193"
"16","IPMANSICS","5","0","17","0","19","0","0","0","76","0","0","0","98"
"17","IPB51222S","5","0","18","0","66","0","84","9","225","0","175","7","213"
"18","IPFUELS","5","0","53","0","108","0","78","5","277","0","155","11","226"
"19","CUMFNS","2","0","193","102","124","0","141","358","257","0","302","360","352"
"20","HWI","2","0","92","358","161","137","314","360","352","153","294","360","328"
"21","HWIURATIO","2","0","202","0","27","0","121","1","126","0","196","18","122"
"22","CLF16OV","5","0","0","0","29","198","2","0","189","202","22","0","271"
"23","CE16OV","5","0","53","0","25","210","15","0","145","255","61","2","123"
"24","UEMPMEAN","2","0","4","24","93","0","27","285","286","0","48","289","282"
"25","UEMPLT5","5","0","287","0","95","0","353","27","193","0","360","16","188"
"26","UEMP5TO14","5","0","356","0","29","9","360","6","192","0","360","16","181"
