"","h","n","RWwD","AR","Plasso_NT_121_Predictors","Slasso_NT_121_Predictors","Plasso_ST_121_Predictors","Slasso_ST_121_Predictors","Plasso_NT_504_Predictors","Slasso_NT_504_Predictors","Plasso_ST_504_Predictors","Slasso_ST_504_Predictors"
"Full Sample",1,120,0.114130350795858,0.115631319530419,0.454392030979624,0.112843664922818,0.646772413270407,0.41772717617653,0.408103341942186,0.108952166439225,0.274706341985382,0.114750162915773
"Full Sample",1,240,0.114091330551692,0.117081235602169,0.334608829898387,0.113387684558326,0.515263256610038,0.534847698912028,0.574936677155494,0.0990861753902229,0.177037984810979,0.105452192887471
"Full Sample",1,360,0.113833642404574,0.114018956000715,0.303879224960998,0.115723636470183,0.722344196310293,0.645902910958643,0.576935320088733,0.100814374637683,0.153349616170761,0.106649784572271
"Full Sample",2,120,0.167626332869726,0.161562635325996,0.486336722251629,0.151346735427287,0.63797199022268,0.438265680736131,0.461373225419541,0.145415194549022,0.331763283188299,0.161641935113255
"Full Sample",2,240,0.167471024571164,0.161328801688298,0.394097474750928,0.135449129945835,0.516906494489989,0.530556133781475,0.618225436964366,0.127290020443371,0.228751035358212,0.140743567528007
"Full Sample",2,360,0.16714109102148,0.157591028786407,0.362043250015663,0.146316663034225,0.629105172198959,0.648929814212886,0.593177246984221,0.133189866367575,0.202098372818239,0.141010105839846
"Full Sample",3,120,0.217896770205532,0.21114004335624,0.513981064567657,0.199646726423894,0.684406116798416,0.458902611381236,0.513016126313943,0.201362806598156,0.422352735073383,0.211963926042021
"Full Sample",3,240,0.217487637150363,0.202196494547622,0.437440276903864,0.178244816113835,0.529100887501881,0.549309208185332,0.66509799320719,0.166313179140673,0.297327084194837,0.173846790000688
"Full Sample",3,360,0.217081981146654,0.199558107389959,0.417114784545351,0.175291888321294,0.629479387851519,0.627149456704031,0.62125487649229,0.165474451011379,0.261276786960105,0.173744323304068
"1990-1999",1,120,0.107041029207232,0.105260784092085,0.372527204227508,0.10943048838209,0.469978399158074,0.37011454814328,0.320701030097361,0.104865331084636,0.213048599079191,0.111189391424441
"1990-1999",1,240,0.107294853963839,0.111239882859058,0.171594210169045,0.108579156154865,0.533745277957884,0.614088078842654,0.449974947567938,0.0986711946026872,0.156882345902486,0.103906630056028
"1990-1999",1,360,0.107418868799258,0.111930869829174,0.178391369917326,0.119156151213391,0.526006266914414,0.487419049164204,0.52110621758383,0.103117411417799,0.144184222657212,0.100890947029157
