"Lag","n","Plasso_NT","Slasso_NT","Plasso_ST","Slasso_ST"
"All","120","10.4277777777778","13.8583333333333","4.75277777777778","20.9888888888889"
"All","240","9.49444444444445","10.4722222222222","4.03333333333333","22.7555555555556"
"All","360","8.54166666666667","9.52222222222222","3.82222222222222","23.5"
"1","120","3.16388888888889","5.02777777777778","1.39722222222222","6.68611111111111"
"1","240","2.81666666666667","4.63611111111111","1.08055555555556","9.88611111111111"
"1","360","2.74722222222222","5.46388888888889","0.919444444444444","10.9638888888889"
"2","120","1.91666666666667","3.78055555555556","1.01666666666667","5.35"
"2","240","1.76666666666667","2.60833333333333","0.980555555555556","5.17777777777778"
"2","360","1.575","2.25277777777778","1","5.72222222222222"
"3","120","2.23055555555556","2.70277777777778","1.17777777777778","5.32222222222222"
"3","240","1.75277777777778","2.33888888888889","1.07222222222222","4.54166666666667"
"3","360","1.28888888888889","1.03611111111111","0.988888888888889","3.19444444444444"
"4","120","3.11666666666667","2.34722222222222","1.16111111111111","3.63055555555556"
"4","240","3.15833333333333","0.888888888888889","0.9","3.15"
"4","360","2.93055555555556","0.769444444444444","0.913888888888889","3.61944444444444"
